,1,2,3,4,5,6,7,8,9,10
Mon,nan,"19AD615
Data Science Applications for Vision
M.Tech - AI& Data Science - II Sem
ABIII - FF - D207",nan,nan,nan,nan,"19AD615
Data Science Applications for Vision Lab
M.Tech - AI& Data Science - II Sem
ABIII - SF -  PG Lab","19AD615
Data Science Applications for Vision Lab
M.Tech - AI& Data Science - II Sem
ABIII - SF -  PG Lab","19AD615
Data Science Applications for Vision Lab
M.Tech - AI& Data Science - II Sem
ABIII - SF -  PG Lab",nan
Tue,nan,"19CSE103
User Interface Design
B.Tech-II Sem-CSE-A
ABIII - FF - F205",nan,"19AD615
Data Science Applications for Vision
M.Tech - AI& Data Science - II Sem
ABIII - FF - D207",nan,nan,nan,nan,nan,nan
Wed,nan,nan,nan,nan,nan,nan,"19CSE103
User Interface Design Lab
B.Tech - CSE - II Sem. A
ABII - GF - CP Lab1","19CSE103
User Interface Design Lab
B.Tech - CSE - II Sem. A
ABII - GF - CP Lab1","19CSE103
User Interface Design Lab
B.Tech - CSE - II Sem. A
ABII - GF - CP Lab1",nan
Thu,nan,nan,nan,nan,"19CSE103
User Interface Design
B.Tech-II Sem-CSE-A
ABIII - FF - F205",nan,nan,nan,nan,nan
Fri,"
19CSE103
User Interface Design Lab 
B.Tech-CSE-II Sem-B
ABII - GF - CP Lab1
Ms.R.Manjusha          ","
19CSE103
User Interface Design Lab 
B.Tech-CSE-II Sem-B
ABII - GF - CP Lab1
Ms.R.Manjusha          ","
19CSE103
User Interface Design Lab 
B.Tech-CSE-II Sem-B
ABII - GF - CP Lab1
Ms.R.Manjusha          ",nan,nan,nan,nan,nan,nan,nan
